,,,,,,,,data_referencia;cod_ibge;txt_municipio;mcmv_fgts_txt_uf;txt_regiao;data_assinatura_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio_desconto_fgts;vlr_subsidio_desconto_ogu;vlr_subsidio_equilíbrio_fgts;vlr_subsidio_equilíbrio_ogu;vlr_compra;vlr_renda_familiar;txt_programa_fgts;num_taxa_juros;txt_tipo_imovel;bln_cotista;txt_sistema_amortizacao;dte_nascimento;txt_compatibilidade_faixa_renda;txt_nome_empreendimento
02/05/2025;230765;Maracanaú ;CE;Nordeste;2019-02-04;1;95932,0;13201,2;1466,8;18900,0;2100,0;156000,0;2148,14;Carta de Crédito Individual;5,0;Novo;S;price;1989-07-21;Faixa 2;
02/05/2025;410690;Curitiba ;PR;Sul;;1;196462,72;0,0;0,0;0,0;0,0;283200,0;4705,96;Apoio à Produção;7,66;Novo;S;price;1988-12-21;Faixa 3;
02/05/2025;355240;Sumaré ;SP;Sudeste;2021-08-13;1;50000,0;0,0;0,0;0,0;0,0;230000,0;4238,28;Carta de Crédito Individual;7,66;Novo;S;price;1974-01-06;Faixa 3;
02/05/2025;250600;Esperança ;PB;Nordeste;2019-11-27;1;98400,0;0,0;0,0;0,0;0,0;123000,0;4144,66;Carta de Crédito Individual;8,16;Novo;N;price;1968-03-24;Faixa 3;
02/05/2025;312980;Ibirité ;MG;Sudeste;2020-06-10;1;152000,0;0,0;0,0;0,0;0,0;198000,0;4189,75;Carta de Crédito Individual;7,66;Novo;S;price;1984-03-28;Faixa 3;
02/05/2025;317020;Uberlândia ;MG;Sudeste;2015-11-03;1;158822,94;0,0;0,0;0,0;0,0;158822,94;5437,88;Pró-Cotista;8,5101;Usado;S;price;;Faixa 3;
02/05/2025;353340;Nova Odessa ;SP;Sudeste;2018-02-09;1;141288,0;2088,0;232,0;6455,94;717,3299999999999;180000,0;3535,0;Apoio à Produção;6,5;Novo;S;price;1985-01-11;Faixa 2;
02/05/2025;240800;Mossoró ;RN;Nordeste;2011-03-11;1;63504,509999999995;10028,25;3342,75;0,0;0,0;76875,51;1620,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;430790;Farroupilha ;RS;Sul;2017-06-21;1;100000,0;0,0;0,0;5144,15;0,0;135000,0;3300,26;Carta de Crédito Individual;6,5;Usado;S;sac;1997-01-23;Faixa 2;
02/05/2025;313250;Itamarandiba ;MG;Sudeste;2023-11-17;1;152000,0;456,0;0,0;5012,68;0,0;190000,0;3799,55;Carta de Crédito Individual;6,0;Novo;N;price;1993-03-26;Faixa 2;
02/05/2025;354660;Santa Fé do Sul ;SP;Sudeste;2015-09-25;1;107907,74;0,0;0,0;0,0;0,0;107907,74;4196,2;Pró-Cotista;8,5101;Novo;S;price;;Faixa 3;
02/05/2025;521250;Luziânia ;GO;Centro-Oeste;2016-06-10;1;102037,02;10534,5;1170,5;14399,991;1599,9990000000005;145000,0;2274,23;Apoio à Produção;5,0;Novo;N;price;;Faixa 2;
